t_cold_k,t_hot_k,temperature_lift,multiplier,q_h_max_kj_per_mol
283.0,313.0,30.0,9.627798473111035,8575.480099999999
283.0,314.8333333333333,31.833333333333314,9.126463032487546,8128.9406230366585
283.0,316.6666666666667,33.666666666666686,8.679728481436891,7731.034158415839
283.0,318.5,35.5,8.279135527208386,7374.22601408451
283.0,320.3333333333333,37.333333333333314,7.9178865238416085,7052.461526785721
283.0,322.1666666666667,39.166666666666686,7.590456576109156,6760.819672340425
283.0,324.0,41.0,7.292308981425954,6495.259609756097
283.0,325.8333333333333,42.833333333333314,7.019683748933534,6252.4323151751
283.0,327.6666666666667,44.666666666666686,6.769438199705413,6029.538604477611
283.0,329.5,46.5,6.538925274430769,5824.220741935486
283.0,331.3333333333333,48.333333333333314,6.325899536590753,5634.4787172413835
283.0,333.1666666666667,50.166666666666686,6.128443786234049,5458.604880398668
283.0,335.0,52.0,5.944911197761482,5295.132403846153
283.0,336.8333333333333,53.833333333333314,5.773879280949585,5142.794275541796
283.0,338.6666666666667,55.666666666666686,5.614112939496553,5000.49039520958
283.0,340.5,57.5,5.464534596628934,4867.260965217392
283.0,342.3333333333333,59.333333333333314,5.3241998592194255,4742.264814606742
283.0,344.1666666666667,61.166666666666686,5.19227755838487,4624.761621253404
283.0,346.0,63.0,5.068033275059211,4514.097238095239
283.0,347.8333333333333,64.83333333333331,4.950815660713405,4409.69150899743
283.0,349.6666666666667,66.66666666666669,4.840045015156618,4311.028095
283.0,351.5,68.5,4.735203698559077,4217.64593430657
283.0,353.3333333333333,70.33333333333331,4.6358280430163825,4129.132037914692
283.0,355.1666666666667,72.16666666666669,4.541501496993177,4045.1153833718226
283.0,357.0,74.0,4.451848788835989,3965.2617162162155
283.0,358.8333333333333,75.83333333333331,4.366530936897392,3889.2691054945067
283.0,360.6666666666667,77.66666666666669,4.285240966380783,3816.8641287553637
283.0,362.5,79.5,4.207700218823017,3747.7985849056613
283.0,364.3333333333333,81.33333333333331,4.133655160704327,3681.8466516393446
283.0,366.1666666666667,83.16666666666669,4.06287461416602,3618.8024188376744
283.0,368.0,85.0,3.9951473461058393,3558.477741176471
283.0,369.8333333333333,86.83333333333331,3.9302799626854332,3500.7003627639156
283.0,371.6666666666667,88.66666666666669,3.868095065045571,3445.3122744360903
283.0,373.5,90.5,3.8084296291885393,3392.168270718232
283.0,375.3333333333333,92.33333333333331,3.751133578870957,3341.1346787003617
283.0,377.16666666666663,94.16666666666663,3.6960685252029095,3292.0882353982315
283.0,379.0,96.0,3.6431066506680136,3244.91509375
283.0,380.8333333333333,97.83333333333331,3.5921297186199475,3199.509940374787
283.0,382.66666666666663,99.66666666666663,3.543028192098734,3155.7752107023425
283.0,384.5,101.5,3.4957004481447873,3113.6203891625623
283.0,386.3333333333333,103.33333333333331,3.450052075750497,3072.961383870968
283.0,388.16666666666663,105.16666666666663,3.405995247243172,3033.7199667194936
283.0,390.0,107.0,3.3634481542921715,2995.823271028037
283.0,391.8333333333333,108.83333333333331,3.3223345009199203,2959.2033399693732
283.0,393.66666666666663,110.66666666666663,3.2825830469063866,2923.7967198795186
283.0,395.5,112.5,3.2441271958384785,2889.544093333333
283.0,397.3333333333333,114.33333333333331,3.206904622793158,2856.389947521866
283.0,399.16666666666663,116.16666666666663,3.170856937275811,2824.282274031565
283.0,401.0,118.0,3.135929377579622,2793.1722966101697
283.0,402.8333333333333,119.83333333333331,3.102070533200981,2763.014223922114
283.0,404.66666666666663,121.66666666666663,3.0692320923515597,2733.7650246575345
283.0,406.5,123.5,3.037368611959206,2705.384222672065
283.0,408.3333333333333,125.33333333333331,3.0064373078549265,2677.833710106383
283.0,410.16666666666663,127.16666666666663,2.976397863108832,2651.0775766710367
283.0,412.0,129.0,2.9472122527095235,2625.0819534883726
283.0,413.8333333333333,130.83333333333331,2.9188445829838265,2599.8148700636943
283.0,415.66666666666663,132.66666666666663,2.891260944330952,2575.246123115579
283.0,417.5,134.5,2.864429276000706,2551.3471561338292
283.0,419.3333333333333,136.33333333333331,2.8383192417820333,2528.0909486552573
283.0,421.16666666666663,138.16666666666663,2.812902115588464,2505.451914354645
283.0,423.0,140.0,2.7881506760332964,2483.405807142857
